Title,Category,Genre,Description,Rating,Cover_URL,Backdrop_URL,TMDB_ID
How I Met Your Mother,Series,Comedy,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,8.131,https://image.tmdb.org/t/p/w500/b34jPzmB0wZy7EjUZoleXOl2RRI.jpg,https://image.tmdb.org/t/p/original/3f8aW6vcYRP6mTZdgXm83BiuB9t.jpg,1100
Monk,Series,Drama Comedy Crime Mystery,"Adrian Monk was once a rising star with the San Francisco Police Department, legendary for using unconventional means to solve the department's most baffling cases. But after the tragic (and still unsolved) murder of his wife Trudy, he developed an extreme case of obsessive-compulsive disorder. Now working as a private consultant, Monk continues to investigate cases in the most unconventional ways.",7.948,https://image.tmdb.org/t/p/w500/3axGMbUecXXOPSeG47v2i9wK5y5.jpg,https://image.tmdb.org/t/p/original/dMY7XUfEAK0Rl8hsgc8ufEOaiZ2.jpg,1695
Binnelanders,Series,Soap,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",5.545,https://image.tmdb.org/t/p/w500/3bzECfllho8PphdYujLUIuhncJD.jpg,https://image.tmdb.org/t/p/original/s1dTt4M31q2HwD5Fkl1tf5tQzJg.jpg,206559
Grimm,Series,Drama Mystery Sci-Fi & Fantasy,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",8.267,https://image.tmdb.org/t/p/w500/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,https://image.tmdb.org/t/p/original/oS3nip9GGsx5A7vWp8A1cazqJlF.jpg,39351
Pokémon,Series,Animation Action & Adventure Sci-Fi & Fantasy Anime,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",7.979,https://image.tmdb.org/t/p/w500/lP4zwr0F7hWTbAFltfoFTc2AxRG.jpg,https://image.tmdb.org/t/p/original/yYpQV25I7XB6S0POJOScPjxYWV5.jpg,60572
The Graham Norton Show,Series,Comedy Talk,Each week celebrity guests join Irish comedian Graham Norton to discuss what's being going on around the world that week. The guests poke fun and share their opinions on the main news stories. Graham is often joined by a band or artist to play the show out.,7.2,https://image.tmdb.org/t/p/w500/vrbqaBXB8AALynQzpWz6JdCPEJS.jpg,https://image.tmdb.org/t/p/original/5UNcEz7Lc3OGilpPn1Tb9cd1xsc.jpg,1220
SPY x FAMILY,Series,Animation Action & Adventure Comedy Anime,"A spy, an assassin and a telepath come together to pose as a family, each for their own reasons, while hiding their true identities from each other.",8.507,https://image.tmdb.org/t/p/w500/7NAvPYPAu7MeHwP8E9sn81PqsRh.jpg,https://image.tmdb.org/t/p/original/lysUnU6V0VfcthDbviuVlIqgHOR.jpg,120089
The Kelly Clarkson Show,Series,Talk,"Kelly Clarkson presents the biggest newsmakers and names in film, television and music; as well as emerging new talent and everyday people who are beacons of hope in their communities.",6.4,https://image.tmdb.org/t/p/w500/sBix25bie9UQFzbarN51DpFO5ky.jpg,https://image.tmdb.org/t/p/original/bk7QdAIUqkGpZO5GUX4AMB2AZIB.jpg,82873
Weak Hero,Series,Action & Adventure Drama,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",8.7,https://image.tmdb.org/t/p/w500/dbqNBeLvAWFqpAvdBc0cecaqytT.jpg,https://image.tmdb.org/t/p/original/cLTAda6fMRirkCY1xfO4pmcHVkk.jpg,200709
JoJo's Bizarre Adventure,Series,Animation Action & Adventure Sci-Fi & Fantasy Anime,"Follow the intergenerational feud between the Joestar Family and various forces of evil, the most prominent of which is Dio Brando and his followers.",8.558,https://image.tmdb.org/t/p/w500/ogAWwbh3frWtiTyyXrZaVFtqCgp.jpg,https://image.tmdb.org/t/p/original/mLKN1dsimKPiXCZ48KED0X8a02t.jpg,45790
Westworld,Series,Sci-Fi & Fantasy Western,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",8.02,https://image.tmdb.org/t/p/w500/ALlSU9du9iRiKIIoY1sREGNqQ5.jpg,https://image.tmdb.org/t/p/original/rX5hvSRB2k4YoIvRg6Zky52rWk0.jpg,63247
Charmed,Series,Comedy Drama Mystery Sci-Fi & Fantasy,"Three sisters (Prue, Piper and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern day San Francisco. ",8.163,https://image.tmdb.org/t/p/w500/z4bPJ1BWU2EtV69NII2GVvsugQ2.jpg,https://image.tmdb.org/t/p/original/ueZFcwAUvkjyAB9beaiqJyg0M8H.jpg,1981
Naruto,Series,Animation Action & Adventure Sci-Fi & Fantasy Anime,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",8.364,https://image.tmdb.org/t/p/w500/xppeysfvDKVx775MFuH8Z9BlpMk.jpg,https://image.tmdb.org/t/p/original/mpsYIytXhDXjI9yYC1Fp1S3PxsS.jpg,46260
Fights Break Sphere,Series,Animation Action & Adventure Sci-Fi & Fantasy Donghua,"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?",8.2,https://image.tmdb.org/t/p/w500/a9bJPlezCXF6u0siDxf7cZaSXaJ.jpg,https://image.tmdb.org/t/p/original/9y6yZz4fTBvQLYEBeDP8O9e6VBe.jpg,79481
Charmsukh,Series,Drama,"Charmsukh is an erotic, drama web-series streamed on ULLU network with each episode having unique storyline.",7.0,https://image.tmdb.org/t/p/w500/6Kt9zIsrtqs1x1XyNFxOeEjlkKB.jpg,https://image.tmdb.org/t/p/original/9A07STwXqS46yDlR0FMSt9kIO3L.jpg,97072
Seeking Persephone,Series,Drama,"To save her family, Persephone marries a cold, distant duke - never expecting to awaken a love that could change them both forever.",8.625,https://image.tmdb.org/t/p/w500/tJsS5oFvcKsJ3NdlTbuG7nyCDIK.jpg,https://image.tmdb.org/t/p/original/x0zAZmhH4Pbo6PctR5WzWoJ7SAV.jpg,316830
JAG,Series,Drama Action & Adventure Crime,"Harmon ""Harm"" Rabb Jr. is a former pilot turned lawyer working for the military's JAG (Judge Advocate General) division, the elite legal wing of officers that prosecutes and defends those accused of military-related crimes. He works closely with Lt. Col. Sarah Mackenzie, and together they do what needs to be done to find the truth.",7.3,https://image.tmdb.org/t/p/w500/zPyHpkJZ5O08lbgrQQIROXtb3xz.jpg,https://image.tmdb.org/t/p/original/rxnschfLZf3ZPRiIa6oBBMtY7hF.jpg,4376
Saturday Night Live,Series,Comedy News,"A late-night live television sketch comedy and variety show created by Lorne Michaels. The show's comedy sketches, which parody contemporary culture and politics, are performed by a large and varying cast of repertory and newer cast members. Each episode is hosted by a celebrity guest, who usually delivers an opening monologue and performs in sketches with the cast, and features performances by a musical guest.",6.948,https://image.tmdb.org/t/p/w500/s1cZBqbMwAF3w8S3Yo0j5nr2Yuo.jpg,https://image.tmdb.org/t/p/original/sSAX59Kf01lBRkBW4UcIL4kIoIm.jpg,1667
AIBOU: Tokyo Detective Duo,Series,Drama Crime Mystery,"Detective Ukyo Sugishita confronts crime on the basis of his own convictions. He has a partner that works for him in the Special Task Unit. For the first 7 seasons, Ukyo’s first partner is Kaoru Kameyama. He is a good-natured, hot-tempered, straightforward and somewhat scattered detective. Beginning in Season 8, Takeru Kanbe replaces Kameyama. Contrary to his predecessor, Takeru is a lanky, cool, conceited and confident detective. From Season 11 to Season 13, Ukyo’s partner is a young detective Toru Kai. Toru is a son of Deputy Director-General of The National Police Agency. But he became a detective by his own effort. And starting with Season 14, Ukyo’s current partner is Wataru Kaburagi, an elite bureaucrat who came to the Metropolitan Police Department on temporary assignment. As the first partner without any career of a police officer, he will face challenging cases together with Ukyo.",7.545,https://image.tmdb.org/t/p/w500/8u8rCCeuBufMQ1VlGX0lruhDaPR.jpg,https://image.tmdb.org/t/p/original/ka4rcpCCBPAATLdQEn57qZQT8e4.jpg,40663
Fargo,Series,Crime Drama,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.",8.3,https://image.tmdb.org/t/p/w500/a3VW6khsyUVKrG0GBCWFG3NzWPX.jpg,https://image.tmdb.org/t/p/original/4jrSbRpLqpvYJtLKncaxZVC47EW.jpg,60622
Late Show with David Letterman,Series,Talk Comedy,"David Letterman uses mature humor to appeal to his audience in this weeknight series, which gets its music from a house band led by Paul Shaffer. Among the show's most-famous segments are the Top Ten List and Stupid Pet Tricks, the latter of which subsequently led to an additional recurring segment called Stupid Human Tricks.",6.439,https://image.tmdb.org/t/p/w500/3wzEg2MknkM5AGytRrb1DRife6F.jpg,https://image.tmdb.org/t/p/original/7jEnft2CLNbILWAiBRIBrXNN7Qh.jpg,498
Young Sheldon,Series,Comedy Family Drama,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",8.036,https://image.tmdb.org/t/p/w500/kidkbZRBGbsEIrX7pODRSKi9ipl.jpg,https://image.tmdb.org/t/p/original/nlDBlCtorM7nx130wYnfR5ZmyLX.jpg,71728
Real Time with Bill Maher,Series,Comedy Talk,"Each week Bill Maher surrounds himself with a panel of guests which include politicians, actors, comedians, musicians and the like to discuss what's going on in the world.",6.048,https://image.tmdb.org/t/p/w500/pbpoLLp4kvnYVfnEGiEhagpJuVZ.jpg,https://image.tmdb.org/t/p/original/njEGYHyq58q94ZPJlSGs6bGrepv.jpg,4419
Psych,Series,Drama Comedy Crime,"Thanks to his police officer father's efforts, Shawn Spencer spent his childhood developing a keen eye for detail (and a lasting dislike of his dad). Years later, Shawn's frequent tips to the police lead to him being falsely accused of a crime he solved.

Now, Shawn has no choice but to use his abilities to perpetuate his cover story: psychic crime-solving powers, all the while dragging his best friend, his dad, and the police along for the ride.",7.906,https://image.tmdb.org/t/p/w500/fDI15gTVbtW5Sbv5QenqecRxWKJ.jpg,https://image.tmdb.org/t/p/original/sh7GRlX4d7j3XSTeyGZnlKqkHGk.jpg,1447
ER,Series,Drama,ER explores the inner workings of an urban teaching hospital and the critical issues faced by the dedicated physicians and staff of its overburdened emergency room.,7.833,https://image.tmdb.org/t/p/w500/fuS63AoFTkprf8PFeL1f8z68zJr.jpg,https://image.tmdb.org/t/p/original/b1t0mS2MAqnMdh5opqi94rlDEjn.jpg,4588
Sons of Anarchy,Series,Crime Drama,"The Sons of Anarchy (SOA) are an outlaw motorcycle club with many charters in the United States and overseas. The show focused on the original and founding charter, Sons of Anarchy Motorcycle Club, Redwood Original, often referred to by the acronym SAMCRO, Sam Crow, or simply Redwood Charter. The charter operates both legal and illegal businesses in the small town of Charming, California. They combine gun-running and a garage, and involvement in porn film industry. Clay, the charter president, likes it old school and violent; while Jax, his stepson and the club's VP, has thoughts about changing the way things are done. Their conflict has effects on both the club and their personal relationship, especially when Jax goes on a personal quest to cleanse the SAMCRO name and image.",8.415,https://image.tmdb.org/t/p/w500/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,https://image.tmdb.org/t/p/original/mcgZDwhMlrFsfpbvCeg5RY5mhiu.jpg,1409
The Good Wife,Series,Drama,Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.,7.586,https://image.tmdb.org/t/p/w500/lasNCd45fpPLirlA7QxkuopWro.jpg,https://image.tmdb.org/t/p/original/uinrziSwEmS6s8VvGBad5sed7bF.jpg,1435
Conan,Series,Talk Comedy News,A late night television talk show hosted by  Conan O'Brien.,7.177,https://image.tmdb.org/t/p/w500/oQxrvUhP3ycwnlxIrIMQ9Z3kleq.jpg,https://image.tmdb.org/t/p/original/jO803koX4pYjGuxjOkLytCusuJm.jpg,32415
Frasier,Series,Comedy Family,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",7.694,https://image.tmdb.org/t/p/w500/gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg,https://image.tmdb.org/t/p/original/4FqKFhF4BrNsrK3EdRpVJofVqCp.jpg,3452
PAW Patrol,Series,Animation Kids,"Marshall, Rocky, Rubble, Zuma and Skye are doing their best to protect the people of their town. Led by Ryder, a tech-savvy 10-year-old boy, each of them is equipped with special equipment and together they help anyone who finds themselves in trouble. No task is too big for them and no puppy is too small.",6.982,https://image.tmdb.org/t/p/w500/8HXkgUBO5OF8ZK9XbY69RM4S5rv.jpg,https://image.tmdb.org/t/p/original/7OrV2aAH5Yp7hA9zCCvUloLvZtl.jpg,57532
Star Wars: The Clone Wars,Series,Action & Adventure Sci-Fi & Fantasy Animation,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",8.468,https://image.tmdb.org/t/p/w500/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,https://image.tmdb.org/t/p/original/m6eRgkR1KC6Mr6gKx6gKCzSn6vD.jpg,4194
